date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Dec%202021%2018:12:37%20GMT	http://elyse.dev/robots.txt		(from )
19:12:39	24010/24010	---M-Z	200	added ('OK')	text/html	etag:%225dca-619e9877-522c6d31f945d408;gz%22	http://elyse.dev/	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/index.html	(from )
19:12:40	156700/156700	---M-Z	200	added ('OK')	text/css	etag:%222641c-5e85250c-fa0edc3464147f69;gz%22	http://elyse.dev/css/style.css	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/css/style.css	(from http://elyse.dev/)
19:12:41	24010/24010	---M-Z	200	added ('OK')	text/html	etag:%225dca-619e9895-c88b1158ef5cb19e;gz%22	http://elyse.dev/script.html	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/script.html	(from http://elyse.dev/)
19:12:41	24010/24010	---M-Z	200	added ('OK')	text/html	etag:%225dca-619e9877-522c6d31f945d408;gz%22	http://elyse.dev/index.html	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/index-2.html	(from http://elyse.dev/)
19:12:41	372/372	---M-Z	200	added ('OK')	image/svg+xml	etag:%22174-5e85252e-11893773dcf54e10;gz%22	http://elyse.dev/images/feature-tile-icon-01.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-01.svg	(from http://elyse.dev/)
19:12:42	332/332	---M-Z	200	added ('OK')	image/svg+xml	etag:%2214c-5e85252e-d89f721620584ac5;gz%22	http://elyse.dev/images/feature-tile-icon-02.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-02.svg	(from http://elyse.dev/)
19:12:42	372/372	---M-Z	200	added ('OK')	image/svg+xml	etag:%22174-5e85252e-19f6a85340a9d335;gz%22	http://elyse.dev/images/feature-tile-icon-03.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-03.svg	(from http://elyse.dev/)
19:12:42	440/440	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b8-5e85252e-d513ee0d9cd89e0;gz%22	http://elyse.dev/images/feature-tile-icon-04.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-04.svg	(from http://elyse.dev/)
19:12:43	348/348	---M-Z	200	added ('OK')	image/svg+xml	etag:%2215c-5e85252e-91a7276166c836a6;gz%22	http://elyse.dev/images/feature-tile-icon-05.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-05.svg	(from http://elyse.dev/)
19:12:43	1579/1579	---M-Z	200	added ('OK')	image/svg+xml	etag:%2262b-5e85252e-80f0303e56391310;gz%22	http://elyse.dev/images/video-placeholder.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/video-placeholder.svg	(from http://elyse.dev/)
19:12:49	37386/37386	---M--	200	added ('OK')	image/jpeg	etag:%22920a-6198a084-9593ff3950ec4379;;;%22	http://elyse.dev/images/element1.jpg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/element1.jpg	(from http://elyse.dev/)
19:12:52	44273/44273	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Nov%202021%2016:50:05%20GMT	https://media.discordapp.net/attachments/906121989561929739/911659681661976586/4AAD82E6-A6FB-4447-9DBD-3B96A90CD2FF.png	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/media.discordapp.net/attachments/906121989561929739/911659681661976586/4AAD82E6-A6FB-4447-9DBD-3B96A90CD2FF.jpg	(from http://elyse.dev/)
19:12:53	10040/10040	---M-Z	200	added ('OK')	application/javascript	etag:%222738-5e852520-decb96267b7f66f0;gz%22	http://elyse.dev/js/main.min.js	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/js/main.min.js	(from http://elyse.dev/)
19:12:54	30222/30222	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Nov%202021%2020:05:03%20GMT	https://media.discordapp.net/attachments/906121989561929739/910983968613081118/IMG_9234.jpg?width=1049&height=590	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/media.discordapp.net/attachments/906121989561929739/910983968613081118/IMG_9234be76.jpg	(from http://elyse.dev/)
19:12:58	532386/532386	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Dec%202021%2017:43:43%20GMT	https://shoppy.gg/api/embed.js	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/shoppy.gg/api/embed.js	(from http://elyse.dev/)
19:12:59	390/390	---M-Z	200	added ('OK')	image/svg+xml	etag:%22186-5e85252e-a5bbeab767469962;gz%22	http://elyse.dev/images/illustration-section-01.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/illustration-section-01.svg	(from http://elyse.dev/css/style.css)
19:12:59	371/371	---M-Z	200	added ('OK')	image/svg+xml	etag:%22173-5e85252e-c63f3dcd64369063;gz%22	http://elyse.dev/images/illustration-element-01.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/illustration-element-01.svg	(from http://elyse.dev/css/style.css)
19:13:06	374104/374104	---M--	200	added ('OK')	image/png	etag:%225b558-6198a430-ecccb122be99b979;;;%22	http://elyse.dev/images/hero-image.png	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/hero-image.png	(from http://elyse.dev/)
19:13:07	718/718	---M-Z	200	added ('OK')	image/svg+xml	etag:%222ce-5e85252e-2ba6a36c7859f67e;gz%22	http://elyse.dev/images/feature-tile-icon-06.svg	C:/Users/Senx/Desktop/WEB%20-%20SITE/Hey/elyse.dev/images/feature-tile-icon-06.svg	(from http://elyse.dev/)
